Final Fantasy VII: Remake,PlayStation 4,PEGI Rating:,16
Final Fantasy VII: Remake,PlayStation 4,GRAC Rating:,15+
Monster Hunter: Wilds,PlayStation 5,GRAC Rating:,15+
Monster Hunter: Wilds,PlayStation 5,ClassInd Rating:,12
Monster Hunter: Wilds,Windows,PEGI Rating:,16
The Last of Us: Part II,PlayStation 4,ESRB Rating:,Mature
The Last of Us: Part II,PlayStation 4,PEGI Rating:,18
The Last of Us: Part II,PlayStation 4,USK Rating:,18 (keine Jugendfreigabe)
The Last of Us: Part II,PlayStation 4,CERO Rating:,Z
The Last of Us: Part II,PlayStation 4,ClassInd Rating:,18
The Last of Us: Part II,PlayStation 4,SMECCV Rating:,C (Adultos +18 Años)
Xenoblade Chronicles 3,Nintendo Switch,ESRB Rating:,Teen
Xenoblade Chronicles 3,Nintendo Switch,PEGI Rating:,12
Xenoblade Chronicles 3,Nintendo Switch,USK Rating:,12
Xenoblade Chronicles 3,Nintendo Switch,RARS Rating:,12+
Xenoblade Chronicles 3,Nintendo Switch,CERO Rating:,C
Xenoblade Chronicles 3,Nintendo Switch,ACB Rating:,M
Xenoblade Chronicles 3,Nintendo Switch,ClassInd Rating:,14
Xenoblade Chronicles 3,Nintendo Switch,SMECCV Rating:,B15 (+15 Años)
Xenoblade Chronicles 3,Nintendo Switch,GSRR/TESRI Rating:,Parental Guidance (15+)
Xenoblade Chronicles 3,Nintendo Switch,IMDA rating:,ADV16
Metroid Dread,Nintendo Switch,ESRB Rating:,Teen
Metroid Dread,Nintendo Switch,PEGI Rating:,12
Metroid Dread,Nintendo Switch,USK Rating:,12
Metroid Dread,Nintendo Switch,RARS Rating:,12+
Metroid Dread,Nintendo Switch,CERO Rating:,B
Metroid Dread,Nintendo Switch,GRAC Rating:,12+
Metroid Dread,Nintendo Switch,ClassInd Rating:,10
Metroid Dread,Nintendo Switch,SMECCV Rating:,B15 (+15 Años)
Microsoft Flight Simulator,Windows,ESRB Rating:,Everyone
Microsoft Flight Simulator,Windows,PEGI Rating:,3
Microsoft Flight Simulator,Windows Apps,ESRB Rating:,Everyone
Microsoft Flight Simulator,Windows Apps,PEGI Rating:,3
Microsoft Flight Simulator,Windows Apps,USK Rating:,0 (ohne Altersbeschränkung)
Microsoft Flight Simulator,Windows Apps,RARS Rating:,0+
Microsoft Flight Simulator,Windows Apps,CERO Rating:,A
Microsoft Flight Simulator,Windows Apps,ACB Rating:,G
Microsoft Flight Simulator,Windows Apps,ClassInd Rating:,L
Microsoft Flight Simulator,Windows Apps,GSRR/TESRI Rating:,Protected (6+)
Microsoft Flight Simulator,Windows Apps,IARC Rating:,3+
Microsoft Flight Simulator,Xbox Series,ACB Rating:,G
Ori and the Will of the Wisps,Nintendo Switch,ESRB Rating:,Everyone
Ori and the Will of the Wisps,Nintendo Switch,PEGI Rating:,7
Ori and the Will of the Wisps,Nintendo Switch,USK Rating:,12
Castlevania: Dominus Collection,Nintendo Switch,ESRB Rating:,Teen
Castlevania: Dominus Collection,Nintendo Switch,PEGI Rating:,12
Castlevania: Dominus Collection,Nintendo Switch,USK Rating:,12
